Qty,Reference(s),Value,Manufacturer,Digi-Key Part Number,PartNo
4,"C1, C2, C3, C4",0.1uF,KEMET,399-4264-ND,C320C104K5R5TA
1,C5,0.47 uF,KEMET,399-14020-ND,C330C474M5R5TA
1,C6,1uF,Nichicon,493-12567-1-ND,UVK1H010MDD1TD
1,D1,LED(R),Lite-On,160-1705-ND,LTL-307E
1,D2,LED(Y),Lite-On,160-1703-ND,LTL-307Y
1,D3,LED(G),Lite-On,160-1706-ND,LTL-307G
1,J1,Mini USB,TE Connectivity AMP Connectors,A135698-ND,2172034-1
1,J2,SERIAL,Amphenol ICC (FCI),10129378-903001BLF-ND,10129378-903001BLF
1,J3,ISP,Amphenol ICC (FCI),10129381-906001BLF-ND,10129381-906001BLF
1,J4,HEADER,Amphenol ICC (FCI),10129381-924001BLF-ND,10129381-924001BLF
1,J5,IEEE488,NorComp Inc.,1024RMA-ND,112-024-113R001
2,"R1, R5",10k,Stackpole Electronics Inc,CF18JT10K0TR-ND,CF18JT10K0
3,"R2, R3, R4",330R,Stackpole Electronics Inc,CF18JT330RTR-ND,CF18JT330R
1,SW1,RESET,Omron,SW797CT-ND,B3F-6002
1,U1,MCP2221AxP,Microchip Technology,MCP2221A-I/P-ND,MCP2221A-I/P
1,U2,ATmega168-20P,Microchip Technology,ATMEGA168V-10PU-ND,ATMEGA168V-10PU
1,U3,SN75161BN,Texas Instruments,296-6847-5-ND,SN75161BN
1,U4,SN75160BN,Texas Instruments,296-6845-5-ND,SN75160BN
3,,LED Standoffs,Bivar Inc.,ELM3-440-ND,ELM 3-440
2,,#4-40 connector mounting screws,Keystone,36-9900-ND,9900
1,,Enclosure,Hammond Manufacturing,HM1376-ND,1593BBGY
